Car_ID,Brand,Model,Year,Fuel_Type,Color,Mileage_kmpl
C1000,Tata,Nexon,2013,Hybrid,Blue,18.97
C1001,Maruti,XUV500,2005,Diesel,Green,19.51
C1002,Honda,XUV500,2009,Electric,White,15.14
C1003,Maruti,City,2010,Hybrid,White,18.51
C1004,Tata,Nexon,2018,Petrol,Grey,10.79
C1005,Mahindra,Swift,2014,CNG,White,23.97
C1006,Maruti,Duster,2024,Petrol,Yellow,23.34
C1007,Toyota,City,2012,Electric,Red,22.95
C1008,Tata,Polo,2014,Electric,Green,18.9
C1009,Mahindra,Ecosport,2017,Electric,Grey,21.07
C1010,Renault,XUV500,2014,Hybrid,Grey,15.23
C1011,Toyota,Seltos,2016,Hybrid,Yellow,12.21
C1012,Volkswagen,Seltos,2015,Petrol,Silver,20.48
C1013,Kia,Polo,2016,Hybrid,Grey,12.36
C1014,Honda,Innova,2024,CNG,Grey,16.33
C1015,Toyota,Nexon,2009,Hybrid,White,22.38
C1016,Ford,Nexon,2006,Petrol,Grey,24.86
C1017,Volkswagen,Polo,2008,Diesel,Red,15.27
C1018,Maruti,Ecosport,2014,Hybrid,White,19.85
C1019,Tata,Ecosport,2018,Petrol,Blue,22.06
C1020,Toyota,Innova,2022,CNG,Black,16.25
C1021,Tata,Creta,2017,Petrol,Blue,10.88
C1022,Mahindra,City,2024,Hybrid,Yellow,19.92
C1023,Hyundai,Swift,2018,CNG,Silver,18.72
C1024,Hyundai,City,2017,CNG,Red,10.93
C1025,Tata,Innova,2017,Diesel,Red,11.87
C1026,Tata,Polo,2005,Hybrid,Red,19.44
C1027,Toyota,Duster,2024,Hybrid,Black,18.84
C1028,Maruti,Seltos,2015,CNG,Black,11.4
C1029,Ford,Duster,2014,CNG,Green,18.4
C1030,Ford,City,2009,Petrol,Silver,23.59
C1031,Maruti,Duster,2010,Hybrid,Grey,12.34
C1032,Toyota,Duster,2015,Diesel,Green,24.49
C1033,Ford,Ecosport,2005,Petrol,Grey,12.57
C1034,Honda,Duster,2007,Petrol,Blue,23.15
C1035,Volkswagen,Duster,2023,Petrol,White,11.94
C1036,Volkswagen,Ecosport,2017,CNG,Red,14.18
C1037,Volkswagen,Swift,2015,Hybrid,Black,14.04
C1038,Mahindra,Seltos,2012,Petrol,Grey,17.06
C1039,Renault,Ecosport,2014,Electric,Green,19.77
C1040,Tata,Swift,2015,Hybrid,Grey,10.82
C1041,Kia,Polo,2011,Petrol,Blue,13
C1042,Honda,Creta,2016,CNG,Yellow,23.85
C1043,Toyota,Innova,2013,Hybrid,Blue,14.07
C1044,Renault,Ecosport,2019,Diesel,Red,19.65
C1045,Hyundai,Seltos,2017,Petrol,White,12.02
C1046,Kia,Swift,2016,Hybrid,Blue,16.29
C1047,Honda,Creta,2014,Electric,White,20.52
C1048,Hyundai,Innova,2012,Petrol,Blue,10.32
C1049,Honda,Polo,2019,Diesel,Black,11.82
C1050,Maruti,City,2006,Hybrid,Green,22.81
C1051,Volkswagen,XUV500,2023,CNG,Red,15.07
C1052,Ford,XUV500,2012,Hybrid,Black,11.69
C1053,Toyota,Duster,2011,CNG,Black,23.56
C1054,Ford,XUV500,2024,Diesel,Blue,12.89
C1055,Honda,Ecosport,2006,Electric,Silver,10.11
C1056,Mahindra,Nexon,2011,Petrol,Grey,22.79
C1057,Hyundai,Seltos,2024,Electric,Red,14.33
C1058,Maruti,City,2020,Electric,Yellow,13.46
C1059,Honda,Nexon,2019,Diesel,Red,11.88
C1060,Renault,City,2021,CNG,Yellow,24.44
C1061,Maruti,City,2020,Electric,Silver,22.61
C1062,Toyota,Seltos,2011,Electric,Green,12.24
C1063,Ford,Swift,2021,Electric,Blue,11.49
C1064,Ford,Seltos,2024,Electric,Red,13.37
C1065,Renault,Seltos,2007,Hybrid,Black,11.4
C1066,Renault,Swift,2006,Petrol,Silver,10.66
C1067,Ford,Ecosport,2014,Electric,Red,19.03
C1068,Renault,Ecosport,2005,Electric,White,10.62
C1069,Mahindra,XUV500,2017,Diesel,Grey,19.93
C1070,Renault,City,2007,Electric,Green,24.52
C1071,Volkswagen,Ecosport,2012,Hybrid,Green,23.59
C1072,Tata,Innova,2021,Diesel,Blue,21.17
C1073,Volkswagen,Ecosport,2007,Electric,Silver,23.62
C1074,Renault,Nexon,2014,Diesel,Blue,11.11
C1075,Renault,Nexon,2021,Electric,White,11.91
C1076,Renault,Duster,2022,Electric,Black,17.67
C1077,Kia,Nexon,2020,Electric,Grey,18.55
C1078,Hyundai,Duster,2011,CNG,Yellow,16.12
C1079,Maruti,Ecosport,2024,Electric,Green,18.9
C1080,Toyota,Creta,2012,CNG,Black,15.15
C1081,Toyota,Ecosport,2015,Electric,Red,21.42
C1082,Renault,XUV500,2018,Diesel,White,16.69
C1083,Mahindra,City,2016,Hybrid,Grey,12.2
C1084,Toyota,Ecosport,2013,CNG,Blue,18.27
C1085,Mahindra,XUV500,2015,Petrol,Black,23.91
C1086,Toyota,Seltos,2021,Petrol,White,23.53
C1087,Volkswagen,Seltos,2018,Petrol,Red,21.65
C1088,Tata,Duster,2022,CNG,Black,10.22
C1089,Kia,City,2013,Hybrid,Black,15.31
C1090,Renault,XUV500,2015,Diesel,Grey,11.9
C1091,Mahindra,Innova,2011,Petrol,Green,12.61
C1092,Maruti,Ecosport,2009,Diesel,Blue,12.08
